time,rssi
2355.999456,-68
2356.735356,-71
2357.275851,-75
2358.091319,-79
2362.176882,-68
2362.71381,-71
2363.802534,-71
2364.072529,-73
2364.344581,-74
2364.614879,-75
2365.155756,-75
2366.786271,-71
2367.073006,-71
2367.874092,-71
2368.146563,-71
2368.689315,-76
2370.052245,-76
2370.32309,-76
2370.595885,-76
2371.136827,-76
2373.322745,-69
2374.135599,-71
2374.954584,-71
2375.227779,-71
2375.500483,-76
2375.771085,-70
2376.312305,-70
2377.676914,-76
2378.220449,-75
2378.490507,-75
2379.853552,-69
2380.125348,-77
2381.211711,-69
2381.481711,-69
2382.567754,-68
2383.662444,-71
2383.941086,-78
2384.751429,-71
2385.565394,-76
2386.109153,-76
2386.381667,-77
2387.466488,-69
2388.011005,-70
2388.558713,-68
2391.275388,-77
2391.545746,-76
2392.360492,-69
2392.630018,-66
2392.900093,-69
2393.174195,-68
2393.443872,-69
2393.713796,-70
2393.983883,-70
2395.334034,-76
