time,rssi
2001.630656,-78
2002.186819,-87
2003.280699,-92
2006.306342,-87
2006.851464,-82
2007.953366,-82
2008.776177,-84
2011.529753,-78
2011.801232,-78
2012.898324,-78
2014.827623,-86
2015.098872,-85
2016.473402,-86
2017.298262,-87
2019.231001,-79
2019.781794,-88
2020.341151,-91
2021.713213,-92
2023.933524,-77
2024.476493,-82
2025.856015,-81
2026.402112,-86
2026.947277,-78
2029.136057,-78
2029.412688,-76
2030.78861,-81
2031.612747,-77
2032.712082,-85
2033.525258,-80
2034.349899,-78
2034.907931,-86
2037.094619,-89
2040.382637,-92
2041.209935,-80
