time,rssi
0.0,-78
1.14502,-73
2.001201,-73
3.994964,-75
4.850175,-80
6.285057,-79
7.152561,-83
8.922089,-75
9.167588,-75
10.027483,-77
11.181284,-80
12.037304,-82
14.046477,-75
14.901396,-84
15.763786,-75
17.202485,-78
18.389124,-87
18.922648,-85
19.496333,-82
22.367441,-76
23.510189,-77
24.368873,-79
25.521416,-74
26.672642,-78
27.530048,-76
29.258503,-70
29.527648,-70
31.825217,-74
32.680128,-79
34.120406,-73
35.38959,-79
35.563825,-79
36.43656,-86
37.56534,-77
39.002687,-85
