time,rssi
2499.7689,-82
2501.481304,-79
2503.83183,-87
2504.066305,-84
2504.683199,-79
2505.791496,-92
2506.361231,-77
2507.511295,-86
2508.938771,-85
2510.650046,-79
2511.506259,-81
2512.667557,-83
2513.793799,-80
2514.661222,-84
2515.817193,-84
2516.087546,-80
2516.946352,-70
2517.810118,-78
2518.666289,-77
2519.801343,-78
2520.942209,-76
2521.226419,-82
2521.796599,-78
2522.081437,-72
2523.229019,-80
2523.797022,-80
2525.24956,-85
2526.106513,-84
2528.973802,-79
2530.142702,-81
2530.410139,-86
2531.263952,-90
2532.407703,-87
2534.441129,-81
2535.271535,-81
2536.131347,-82
2538.714015,-80
2539.566491,-81
