time,rssi
2290.21943,-75
2290.809338,-87
2291.944953,-85
2292.798577,-84
2293.379725,-84
2295.399065,-86
2295.665796,-87
2296.893578,-79
2297.104735,-89
2299.995763,-86
2301.121196,-80
2302.059947,-78
2302.847459,-74
2303.707592,-81
2304.562377,-82
2305.73317,-84
2308.013667,-75
2308.877814,-72
2310.132048,-84
2310.591642,-87
2310.892574,-74
2311.757251,-80
2312.075056,-79
2312.313901,-78
2313.172715,-80
2313.452442,-81
2314.079997,-76
2315.17907,-84
2316.376005,-78
2316.889826,-87
2318.037579,-80
2319.527309,-85
2320.078939,-86
2321.482749,-87
2322.343191,-84
2323.797476,-83
2324.050098,-79
2324.328759,-85
2325.186239,-83
2326.618805,-73
2327.210897,-84
2327.480001,-93
2328.340286,-80
2329.77253,-86
