time,rssi
0.0,-68
0.254755,-67
0.814166,-71
1.960419,-62
2.246617,-68
2.819496,-66
3.66937,-69
3.956559,-71
5.147643,-72
5.686658,-73
5.97158,-68
7.141757,-76
7.984166,-77
8.843036,-81
9.410549,-79
12.557088,-72
13.98176,-78
15.413042,-78
16.86776,-79
17.144253,-81
19.145631,-79
19.430571,-75
24.009434,-77
24.580654,-78
25.446955,-78
26.295016,-81
27.726863,-83
30.295634,-77
30.579428,-77
32.073109,-73
32.873172,-77
34.014418,-66
34.875695,-63
36.070968,-70
36.304378,-68
37.169497,-72
37.745145,-75
38.035611,-76
38.612013,-83
39.183215,-75
