time,rssi
1521.76508,-76
1522.616379,-81
1523.186478,-76
1523.767967,-74
1524.629103,-75
1524.913837,-74
1526.093667,-70
1527.547599,-74
1528.352703,-74
1528.932691,-81
1530.918986,-81
1531.512861,-79
1532.384031,-76
1532.933974,-72
1533.501428,-71
1534.077833,-81
1534.357699,-76
1536.64401,-77
1537.50779,-73
1538.371254,-82
1539.23871,-81
1539.510295,-90
1540.65642,-77
1541.517575,-79
1542.995355,-82
1543.232643,-85
1543.536419,-79
1545.537693,-81
1546.681484,-74
1547.816429,-81
1549.881352,-78
1550.112746,-89
1550.691708,-85
1551.550846,-79
1551.827599,-96
1552.690088,-77
1554.115225,-82
1554.712415,-74
1554.964338,-82
1555.848929,-74
1556.684414,-80
1557.852536,-81
1558.988959,-88
1560.415167,-83
