time,rssi
2360.254603,-78
2360.535901,-77
2361.760231,-78
2361.978213,-78
2362.89859,-79
2363.115786,-76
2364.55956,-79
2365.698324,-84
2366.843428,-82
2368.048914,-83
2368.282204,-86
2368.851346,-83
2370.581003,-87
2370.856068,-84
2372.027896,-92
2373.695009,-94
2374.557336,-90
2374.847281,-89
2376.278819,-86
2376.8498,-81
2377.995146,-93
2379.449398,-82
2380.581121,-83
2381.202403,-87
2381.449974,-79
2382.022402,-82
2383.223571,-80
2384.892396,-74
2385.179937,-75
2386.329741,-81
2388.337284,-83
2389.326637,-81
2389.483423,-76
2390.415724,-74
2390.907229,-75
2391.484698,-84
2392.435478,-80
2393.202591,-79
2393.48876,-81
2394.636265,-83
2395.828381,-81
2396.916052,-82
2397.773576,-81
2399.202319,-84
