time,rssi
2280.396236,-78
2280.95975,-83
2283.251055,-82
2283.826108,-84
2286.12486,-89
2288.426336,-83
2293.011244,-85
2293.895065,-84
2294.170306,-79
2295.036206,-86
2296.182021,-76
2296.631192,-78
2297.034992,-73
2299.316187,-83
2301.612564,-80
2303.888859,-81
2305.035483,-81
2306.477956,-83
2307.919524,-83
2308.787542,-89
2310.866799,-85
2311.079125,-80
2312.517328,-81
2312.788803,-88
2314.811118,-79
2315.968108,-84
2316.52513,-87
2318.549328,-77
2319.398624,-74
