time,rssi
1527.467873,-78
1528.319083,-81
1528.888818,-73
1530.901671,-80
1531.471559,-73
1531.750382,-88
1532.312801,-87
1532.599046,-79
1533.167795,-79
1534.882963,-86
1535.450387,-83
1535.741541,-77
1536.600245,-79
1537.469985,-73
1538.334423,-81
1538.891595,-79
1540.04477,-75
1541.752804,-76
1542.353671,-78
1543.484092,-88
1544.342939,-74
1545.216038,-73
1545.490474,-75
1546.348015,-81
1547.501707,-82
1548.409054,-80
1548.647877,-88
1549.219233,-78
1550.081726,-78
1551.523085,-77
1552.384168,-84
1552.954243,-81
1554.66547,-75
1556.958044,-79
1557.814611,-86
1558.107339,-81
1558.964218,-85
1560.992271,-77
1561.552968,-83
1562.13251,-80
1562.981722,-84
1564.690509,-81
1565.270572,-94
1565.553082,-81
1566.738764,-79
1566.981167,-86
