time,rssi
2379.911436,-75
2380.48393,-76
2380.772626,-79
2381.050579,-80
2381.907645,-78
2384.471346,-79
2385.616454,-74
2385.906403,-85
2387.463023,-78
2388.176446,-82
2389.331406,-74
2389.902222,-76
2390.180232,-75
2391.349352,-75
2392.182078,-77
2393.333967,-86
2394.479022,-71
2397.353741,-80
2397.633927,-78
2398.20723,-76
2398.496456,-88
2399.922796,-78
2400.791515,-78
2401.362803,-76
2402.512769,-86
2403.084995,-86
2403.365376,-83
2404.559875,-82
2405.359004,-79
2407.07893,-72
2407.357782,-74
2408.50663,-83
2409.654153,-77
2411.089024,-73
2412.211654,-78
2413.080269,-77
2414.234152,-78
2414.832811,-84
2415.667762,-79
2416.824648,-78
2417.380562,-74
2417.667937,-79
2418.24168,-80
2419.102977,-75
