time,rssi
2825.183347,-81
2825.754652,-79
2826.613332,-91
2827.475926,-73
2828.643211,-78
2828.912053,-81
2829.486026,-79
2830.632067,-79
2832.064635,-79
2832.638315,-77
2833.80844,-81
2834.357308,-87
2834.639764,-83
2836.929693,-85
2838.950082,-85
2840.654803,-80
2841.230996,-81
2842.086088,-82
2842.661194,-85
2843.226097,-78
2844.084987,-81
2844.996114,-80
2845.809757,-84
2846.376104,-84
2846.964076,-77
2847.239655,-78
2848.39606,-85
2849.598625,-83
2849.829857,-75
2850.114703,-84
2852.111289,-76
2853.261132,-76
2854.436778,-88
2854.974887,-84
2855.547415,-74
2856.555222,-76
2856.686481,-76
2857.583052,-84
2858.119872,-81
2858.402586,-76
2859.257549,-81
2860.515585,-78
2860.693628,-82
2861.604594,-78
2862.406196,-77
2863.98081,-84
2864.410116,-79
