time,rssi
0.0,-90
0.578292,-81
0.882192,-76
1.719766,-83
2.580666,-79
3.426949,-85
4.873394,-78
5.373456,-74
5.701013,-88
6.848505,-79
7.713736,-74
8.592004,-80
9.727103,-80
11.497205,-76
12.021277,-79
12.298446,-83
12.871936,-75
13.147125,-76
14.627195,-78
14.869542,-80
15.144727,-80
16.57524,-80
17.147312,-74
18.015877,-82
18.869535,-74
20.645772,-83
21.182061,-86
21.453447,-76
22.596061,-76
23.45961,-71
24.03217,-73
25.46607,-76
26.33151,-72
26.614698,-77
27.184536,-76
28.330941,-77
29.188475,-80
30.350629,-81
31.199658,-80
31.482284,-80
33.500666,-83
34.327188,-81
35.481133,-83
37.762548,-76
39.484728,-76
