time,rssi
0.0,-79
1.780081,-86
2.008584,-80
2.868771,-76
3.436273,-77
4.588609,-76
5.747534,-77
6.018676,-79
6.594862,-81
7.746019,-78
8.997935,-78
9.227672,-85
9.746287,-80
10.896115,-73
12.040062,-78
12.907159,-79
14.611531,-73
16.037461,-79
17.357881,-82
17.461716,-78
18.316353,-75
18.888989,-84
20.080805,-80
20.610908,-77
20.937921,-79
22.036365,-82
23.594846,-84
23.760047,-75
24.049376,-83
25.291354,-82
25.761323,-81
26.046388,-77
28.876932,-80
29.202509,-76
31.053692,-78
31.200162,-83
32.97494,-82
33.48274,-77
34.625405,-78
35.491256,-75
36.3422,-78
37.203951,-81
37.488983,-74
38.340409,-75
39.481339,-79
