time,rssi
3210.748745,-74
3211.033727,-74
3212.473725,-80
3213.675109,-80
3213.927731,-87
3214.192324,-83
3215.357126,-82
3215.61738,-80
3216.475019,-84
3217.338667,-83
3218.885787,-78
3219.626289,-75
3221.057586,-73
3222.522405,-74
3222.787758,-78
3223.357703,-78
3225.081382,-82
3225.933822,-88
3226.521879,-85
3226.787522,-81
3227.642593,-83
3228.500134,-81
3229.681351,-81
3229.927596,-89
3231.071357,-83
3231.658085,-83
3232.506295,-83
3232.787663,-79
3233.963666,-82
3234.2176,-89
3234.797623,-81
3235.661679,-76
3236.804424,-81
3237.159868,-80
3238.22894,-84
3238.824202,-81
3239.085175,-81
3240.310241,-79
3240.811489,-88
3244.252787,-74
3245.115307,-75
3245.975199,-82
3250.288766,-83
