time,rssi
3164.371104,-72
3165.521024,-72
3166.981262,-86
3167.229762,-72
3168.084864,-70
3169.243052,-78
3170.379915,-78
3171.244828,-82
3173.23495,-80
3174.383609,-79
3175.549431,-77
3175.809997,-76
3176.677539,-75
3178.383716,-73
3179.837209,-77
3180.680049,-81
3181.901269,-88
3182.11,-80
3183.054887,-80
3183.594253,-78
3183.840034,-79
3185.092618,-75
3185.271334,-90
3185.561386,-80
3186.994976,-77
3187.850158,-75
3188.996355,-67
3189.861384,-69
3190.718936,-69
3192.151495,-72
3193.867583,-73
3195.855936,-80
3199.38173,-77
3200.969127,-80
3203.265125,-81
