time,rssi
3210.472266,-77
3211.339736,-71
3212.49746,-82
3213.372527,-76
3213.678382,-77
3214.495978,-78
3215.639853,-80
3216.493441,-81
3217.631045,-72
3218.493365,-81
3218.769805,-85
3220.211154,-83
3221.06617,-78
3222.49992,-80
3222.789909,-81
3224.220572,-82
3224.794921,-77
3225.646466,-79
3227.953134,-85
3229.368927,-74
3230.797347,-79
3231.9506,-75
3232.229921,-80
3233.689628,-82
3235.391366,-78
3236.246328,-83
3237.150106,-81
3238.621041,-78
3239.124458,-83
3239.820156,-77
3240.294534,-73
3240.556254,-74
3241.406337,-77
3242.272603,-83
3243.428903,-75
3243.994186,-74
3245.413858,-78
3246.281421,-79
3247.709058,-81
3249.430199,-80
