time,rssi
2790.822325,-76
2791.396206,-79
2792.254606,-82
2792.534803,-71
2793.107328,-73
2793.408642,-70
2793.974749,-73
2794.541281,-89
2795.10737,-81
2795.959904,-73
2796.542423,-69
2796.828308,-74
2797.982438,-74
2798.851514,-79
2799.974832,-91
2800.862797,-80
2801.127294,-82
2801.989871,-81
2803.181153,-81
2803.441473,-84
2803.995506,-75
2804.300779,-86
2804.566095,-83
2806.278639,-74
2806.889781,-88
2808.314595,-85
2808.847554,-83
2810.852456,-91
2811.419982,-91
2811.99125,-82
2813.135047,-80
2814.86336,-80
2816.597472,-77
2816.873873,-82
2817.152471,-80
2818.023846,-79
2818.886392,-78
2819.742717,-88
2820.318909,-80
2821.177712,-73
2821.758948,-75
2822.040094,-74
2822.615181,-85
2823.751689,-87
2824.621382,-83
2825.761906,-71
2826.031816,-73
2826.312744,-73
2826.882709,-77
2827.463403,-78
2827.747702,-81
2828.315189,-79
2828.884035,-80
2830.050641,-76
2830.311454,-78
