time,rssi
3029.451155,-76
3030.31337,-79
3031.449798,-85
3033.181198,-77
3033.464832,-72
3035.241868,-82
3035.767219,-76
3036.042423,-79
3036.641579,-76
3037.18489,-82
3037.766647,-86
3040.069289,-88
3040.634939,-81
3042.081083,-79
3043.201322,-86
3044.921327,-83
3045.782771,-87
3046.635025,-78
3047.244962,-75
3047.786607,-82
3048.966167,-78
3049.226288,-88
3050.371334,-81
3051.815582,-86
3052.670126,-79
3052.96142,-84
3054.390132,-82
3055.246374,-83
3056.958933,-88
3057.531437,-79
3058.103914,-82
3059.254786,-84
3060.391483,-88
3061.582734,-77
3062.684011,-80
3063.535239,-84
3064.395295,-78
3065.255379,-83
3066.402765,-86
3067.544135,-86
3068.775573,-83
