time,rssi
2380.789749,-79
2381.352163,-78
2382.506038,-80
2383.362251,-75
2385.084781,-80
2385.367537,-77
2387.366042,-78
2387.658632,-74
2388.806059,-78
2389.66984,-85
2390.524836,-80
2392.823527,-84
2393.976108,-84
2395.125501,-80
2395.972312,-79
2398.591263,-77
2398.83367,-81
2399.974923,-74
2401.126011,-77
2402.852555,-80
2403.423645,-83
2405.42998,-86
2407.147492,-83
2408.591503,-84
2409.470127,-82
2409.723695,-83
2410.296844,-79
2410.871223,-79
2411.733682,-77
2412.599908,-83
2413.181156,-76
2414.032562,-89
2414.318819,-84
2415.176137,-79
2416.604968,-80
2418.321261,-87
2419.181368,-80
2419.750483,-81
2420.613806,-86
