time,rssi
741.665704,-92
742.243441,-81
743.094376,-81
744.529499,-82
745.116113,-81
745.954676,-81
746.870472,-78
747.112286,-78
747.384489,-78
748.250477,-74
748.53945,-91
749.11961,-81
750.551063,-80
750.827113,-84
751.4034,-79
752.838308,-77
753.40708,-74
754.260648,-81
755.968428,-80
756.845699,-79
757.41048,-75
757.978211,-81
758.842482,-81
760.272042,-81
761.123342,-85
762.557275,-78
762.837013,-77
763.12081,-86
763.70892,-77
764.567096,-81
765.468314,-79
765.720538,-74
766.85589,-78
768.069908,-81
768.287228,-82
768.865998,-85
770.285227,-81
770.882075,-82
771.16195,-85
772.368438,-77
773.712199,-76
774.645354,-79
775.439655,-81
776.033569,-83
776.305905,-84
777.159748,-77
778.597228,-82
779.170921,-79
780.313542,-79
781.194831,-81
