time,rssi
693.846426,-85
694.702677,-82
696.706431,-88
697.578463,-85
697.850127,-82
699.290351,-85
700.768422,-82
702.157159,-77
703.299259,-79
703.581329,-77
706.154015,-82
707.08004,-80
707.307816,-82
707.881566,-78
709.0353,-79
709.609111,-73
710.760496,-80
712.302558,-84
713.060033,-81
714.497225,-85
715.067796,-81
716.217631,-89
716.495324,-86
717.354186,-82
718.513015,-84
719.361743,-86
719.938355,-80
722.506763,-82
724.237775,-84
724.510877,-90
725.935293,-84
726.555614,-82
727.078022,-83
729.689412,-75
730.804323,-85
731.670688,-80
732.283776,-76
732.515379,-74
733.085563,-73
