time,rssi
0.0,-82
1.441315,-75
2.009942,-75
3.436326,-76
4.584353,-74
4.872181,-85
6.013767,-73
8.01414,-76
8.292972,-79
10.018842,-79
11.452638,-76
11.734982,-72
12.312575,-74
16.028944,-81
16.893692,-82
17.741393,-75
19.757665,-80
22.335199,-77
23.490254,-80
25.515786,-79
27.202752,-79
27.778398,-74
28.347179,-82
28.912914,-78
29.807159,-84
30.917909,-75
32.060495,-74
33.777963,-84
34.066683,-75
34.636696,-74
35.199187,-72
35.496283,-79
38.641496,-77
39.206148,-74
39.775369,-82
