time,rssi
727.037689,-82
727.895169,-81
728.793597,-84
729.916443,-86
730.780339,-76
731.643971,-78
732.792582,-70
734.027404,-71
734.21557,-77
734.793861,-70
735.943979,-65
736.806432,-67
737.952678,-70
738.80692,-68
739.381556,-72
739.974807,-70
741.093914,-72
741.966745,-81
742.237991,-80
743.096444,-78
743.956156,-75
745.379044,-75
747.105953,-89
748.254999,-83
748.820509,-76
750.690645,-79
751.409188,-78
752.603142,-86
753.121617,-79
754.282497,-77
754.5541,-83
756.282928,-79
758.570465,-82
759.429093,-75
760.5779,-71
761.433085,-73
762.284221,-70
762.575406,-71
763.767504,-65
764.279245,-68
764.5667,-67
765.712785,-78
766.852417,-71
