time,rssi
949.22863,-81
950.374197,-78
951.800664,-77
952.706621,-79
953.233078,-85
953.518168,-75
954.826099,-80
954.950591,-77
955.533523,-81
956.671921,-78
958.217279,-86
958.373062,-82
958.660654,-80
959.509362,-82
960.641805,-79
962.645648,-86
963.789309,-84
965.506991,-81
965.790758,-85
967.223222,-75
967.801939,-84
969.229492,-78
970.517618,-70
970.654486,-76
970.980086,-87
971.508234,-86
972.075671,-72
972.973767,-77
973.226943,-84
974.461727,-75
974.938308,-80
976.369422,-77
977.505759,-83
978.942221,-83
979.798403,-87
980.087695,-88
982.668436,-88
984.116206,-82
985.252192,-88
986.979851,-87
987.87177,-85
988.416729,-83
988.974612,-81
