time,rssi
1587.391907,-83
1588.261889,-78
1589.682037,-77
1590.254946,-78
1591.404428,-75
1592.261065,-80
1593.409579,-85
1594.878769,-87
1595.129847,-77
1595.720252,-80
1595.983244,-81
1596.55323,-79
1597.408627,-89
1598.541879,-82
1600.240744,-78
1600.520731,-78
1601.954171,-77
1602.836483,-80
1603.394603,-83
1604.296652,-74
1604.547136,-87
1604.8346,-79
1606.548508,-88
1607.718997,-87
1607.989601,-86
1608.84459,-81
1609.982091,-83
1611.296202,-79
1611.989673,-82
1612.849805,-74
1615.154729,-77
1616.008561,-79
1617.434895,-77
1618.291118,-77
1619.713554,-83
1620.444813,-72
1620.857409,-80
1621.139793,-79
1622.299533,-80
1622.863432,-79
1623.17475,-79
1624.011038,-85
1624.380905,-84
1624.872349,-82
1625.160262,-82
1626.692667,-89
