time,rssi
1553.647168,-80
1553.941667,-83
1554.506014,-78
1555.090385,-67
1556.233337,-70
1557.092177,-67
1557.953404,-78
1558.234553,-75
1558.81465,-72
1559.108718,-80
1559.679595,-79
1560.247168,-81
1562.814988,-81
1564.248468,-83
1567.392912,-76
1567.958477,-92
1569.108677,-82
1569.392968,-79
1571.120811,-83
1573.105998,-83
1574.24505,-74
1577.391435,-77
1578.530987,-75
1579.677194,-78
1582.26494,-72
1582.849455,-68
1583.699793,-67
1583.987949,-67
1584.269758,-71
1584.559734,-85
1585.144784,-88
1585.427952,-80
1585.711101,-73
1586.285148,-78
1586.573166,-84
1588.869798,-87
1589.722263,-79
1590.01089,-78
1590.584428,-79
1591.732672,-82
1593.208057,-90
