time,rssi
3097.326522,-78
3098.191481,-80
3099.335074,-78
3100.788025,-80
3101.056403,-77
3101.347652,-79
3102.212687,-72
3103.935517,-75
3104.501596,-81
3105.673482,-71
3105.950766,-80
3106.527855,-71
3107.384084,-79
3108.819083,-71
3109.961675,-86
3110.546473,-79
3113.697392,-78
3116.25068,-91
3116.826967,-80
3117.689144,-78
3119.120269,-73
3119.984267,-77
3120.839254,-68
3123.705515,-86
3124.279289,-77
3125.129293,-83
3127.994026,-81
3129.142447,-78
3130.006602,-82
3131.180188,-78
3132.874263,-81
3133.157952,-77
3134.593425,-81
3135.45423,-80
3136.981403,-72
