time,rssi
3045.953897,-75
3046.809489,-74
3047.388593,-84
3048.243237,-77
3049.103588,-81
3049.689963,-83
3050.553,-82
3051.11844,-79
3051.969079,-77
3052.258993,-82
3052.834073,-78
3053.125152,-89
3053.995106,-74
3054.280131,-73
3056.023808,-80
3057.430281,-77
3058.294417,-78
3058.862839,-86
3059.722794,-79
3062.028281,-89
3062.598933,-73
3063.717827,-82
3064.294104,-80
3064.581512,-75
3065.157827,-75
3065.455144,-90
3067.172054,-81
3068.059025,-86
3068.894102,-84
3070.324353,-73
3071.187813,-88
3071.761512,-81
3073.174064,-87
3074.367132,-87
3076.312932,-71
3076.882926,-75
3077.454135,-82
3078.311631,-89
3079.194226,-80
3080.025365,-85
3080.89276,-77
3081.17283,-78
3081.747833,-76
3082.032865,-77
3082.909989,-89
3083.4716,-79
3084.647878,-75
3085.190456,-82
