time,rssi
1375.835898,-73
1376.692125,-71
1377.549599,-74
1378.125421,-81
1378.410397,-76
1379.277119,-73
1379.558768,-77
1381.269657,-80
1382.413432,-74
1382.989625,-86
1384.690315,-77
1385.552131,-79
1386.98467,-80
1387.564863,-74
1388.15818,-78
1388.421297,-85
1389.277216,-81
1390.1337,-83
1390.700849,-84
1391.269707,-82
1391.842434,-78
1393.562326,-84
1395.293493,-81
1396.714837,-85
1396.998557,-85
1398.153724,-80
1399.013532,-77
1400.157469,-82
1401.055157,-80
1402.733633,-79
1403.023331,-85
1403.299799,-80
1404.442425,-79
1406.443736,-74
1407.604067,-77
1410.446017,-77
1411.303662,-82
1414.167457,-76
1414.743533,-77
1415.321134,-81
