time,rssi
2103.770098,-84
2104.179712,-75
2104.387918,-88
2105.210072,-82
2106.065061,-78
2107.779091,-79
2108.347601,-78
2109.213727,-82
2110.429003,-83
2110.924039,-81
2112.060483,-82
2114.069166,-86
2114.360011,-74
2116.066659,-84
2117.216444,-78
2117.507743,-80
2118.366804,-81
2120.65276,-84
2121.516975,-78
2121.795409,-86
2122.71337,-86
2123.224088,-83
2123.513284,-87
2125.233088,-76
2126.086623,-83
2126.664115,-92
2127.23277,-83
2128.088068,-76
2128.691132,-80
2129.516658,-71
2130.381697,-79
2130.980513,-79
2131.364919,-85
2132.389189,-76
2133.337067,-77
2133.819142,-78
2135.349974,-91
2135.843831,-82
2136.149247,-79
2136.968007,-77
2138.231684,-79
2138.399166,-80
2139.257857,-75
2140.11674,-81
2140.978326,-80
2142.690578,-81
2143.260851,-80
