time,rssi
767.259813,-78
768.969971,-82
770.111177,-84
770.69073,-76
771.824991,-86
772.406186,-78
773.5375,-85
774.701208,-73
775.546264,-80
776.702779,-80
777.548566,-77
779.27257,-76
779.563491,-77
781.221678,-79
781.294932,-81
785.032213,-82
785.28867,-89
785.883349,-78
786.745554,-79
787.046927,-80
789.02625,-78
789.877439,-85
791.018717,-77
791.873732,-82
793.026292,-79
794.460089,-87
795.607632,-71
796.530759,-77
796.753852,-81
797.905162,-89
798.482621,-85
799.912551,-74
800.201364,-78
801.63267,-72
802.244395,-83
803.362605,-82
804.503897,-75
805.365199,-77
806.507843,-80
