time,rssi
3055.506025,-73
3056.656021,-83
3057.522315,-82
3058.667367,-82
3059.821249,-83
3060.669798,-79
3061.519905,-84
3062.374018,-84
3063.223682,-78
3064.934152,-88
3066.088959,-81
3066.965875,-75
3067.807674,-83
3069.315541,-79
3071.541649,-80
3072.123994,-82
3073.257581,-84
3074.144756,-81
3074.409117,-79
3074.980721,-79
3075.299525,-77
3076.122464,-87
3077.353401,-80
3077.55767,-76
3078.412498,-73
3079.266348,-79
3080.122603,-77
3081.608813,-77
3082.428282,-82
3082.994578,-80
3083.843938,-78
3084.136576,-80
3084.98387,-87
3085.29788,-80
3086.136716,-81
3086.421382,-77
3087.571463,-74
3088.470381,-83
3089.002693,-79
3089.296438,-84
3090.496039,-81
3090.729001,-86
3091.297136,-79
3095.078753,-80
