time,rssi
3308.364395,-73
3309.221954,-73
3309.828772,-75
3310.630611,-74
3310.916784,-82
3312.083403,-85
3312.915555,-80
3314.050332,-74
3314.916783,-84
3316.064307,-77
3316.959164,-84
3317.213054,-85
3318.082669,-88
3318.649461,-84
3319.226948,-89
3320.084285,-80
3321.240721,-77
3322.095733,-83
3323.23937,-79
3324.664473,-79
3325.80071,-85
3327.23189,-83
3328.660722,-85
3330.453876,-83
3330.669863,-89
3331.529483,-77
3333.581972,-84
3334.125714,-86
3334.41391,-88
3335.578637,-70
3335.837028,-68
3336.97459,-77
3337.549607,-75
3338.984607,-80
3339.588105,-77
3339.850774,-89
3340.714601,-86
3341.845799,-86
3342.996706,-81
3343.271217,-80
3344.718574,-80
3346.149926,-77
3347.012954,-79
3347.287516,-85
