time,rssi
1454.904196,-71
1456.054252,-83
1456.9129,-77
1458.072989,-78
1458.942601,-75
1459.230439,-85
1460.703972,-76
1460.951597,-81
1462.388019,-84
1463.24093,-83
1464.960523,-87
1466.106646,-81
1467.548553,-79
1468.423532,-87
1469.564314,-77
1469.834287,-73
1470.688128,-84
1473.546821,-92
1474.400911,-76
1476.113075,-73
1476.469169,-72
1476.688112,-72
1477.59541,-73
1478.120463,-70
1478.412874,-72
1479.863015,-65
1480.411085,-64
1481.825553,-72
1482.67938,-72
1483.847782,-78
1484.697919,-79
1485.559026,-77
1485.840556,-74
1488.288884,-79
1489.299414,-81
1490.462873,-87
1490.797087,-88
1491.31601,-84
1491.889376,-81
1492.750511,-81
1494.186931,-88
