time,rssi
2266.235743,-82
2267.386825,-81
2268.244704,-76
2269.3956,-81
2270.54569,-70
2271.978149,-83
2272.839435,-79
2273.693262,-74
2274.561885,-80
2275.710703,-71
2276.571845,-78
2277.995397,-76
2278.350322,-86
2278.855761,-75
2279.724526,-89
2281.734463,-84
2282.905793,-74
2283.448418,-80
2284.88706,-81
2286.044852,-76
2286.599514,-78
2287.459617,-78
2288.318331,-88
2288.902185,-82
2289.479051,-73
2290.067284,-84
2291.229994,-73
2291.467713,-71
2292.030837,-71
2292.893611,-74
2294.609094,-72
2295.20066,-77
2295.463247,-79
2296.327158,-85
2298.607196,-81
2299.203924,-85
2299.744717,-81
2300.605144,-73
2302.047011,-85
2302.325956,-89
2303.183546,-77
2305.477117,-78
