time,rssi
1514.549758,-79
1516.481661,-95
1516.560999,-83
1517.424815,-79
1518.277506,-80
1519.419832,-77
1520.578067,-84
1522.002335,-91
1522.291113,-88
1523.472798,-82
1523.719848,-85
1527.178841,-85
1528.647877,-80
1529.174804,-81
1529.752452,-85
1531.480097,-77
1532.90126,-89
1533.476361,-80
1534.629901,-79
1535.803738,-78
1536.059939,-88
1536.919383,-88
1538.34375,-79
1539.496394,-85
1540.070608,-82
1540.645629,-83
1541.786128,-81
1548.45043,-90
1549.202636,-83
1550.096905,-90
1550.347464,-89
1551.525661,-84
1553.220424,-87
1554.068788,-77
