time,rssi
3118.498007,-80
3119.070509,-73
3119.926744,-84
3120.782953,-77
3121.65431,-83
3123.09659,-86
3123.6505,-80
3123.940533,-80
3125.37055,-82
3126.234351,-81
3127.084254,-77
3128.517736,-81
3128.790546,-86
3129.384906,-81
3130.786944,-85
3131.093327,-83
3131.940053,-82
3133.075354,-82
3134.320681,-74
3135.374198,-80
3137.119911,-83
3137.959329,-80
3138.536766,-76
3139.522472,-94
3140.833237,-77
3141.994015,-73
3142.266658,-79
3143.991846,-86
3144.297432,-78
3144.849262,-77
3145.420414,-84
3146.302851,-79
3146.566738,-81
3147.447044,-77
3148.850611,-86
3150.041904,-87
3150.566743,-73
3152.271913,-87
3152.873505,-80
3153.706805,-82
3155.42191,-88
3156.353227,-79
3156.558408,-78
3157.692967,-86
