time,rssi
2239.261009,-63
2240.125941,-63
2240.708489,-63
2241.267177,-70
2242.406017,-88
2243.546399,-71
2243.832274,-74
2244.403025,-70
2246.405958,-80
2247.574331,-74
2247.841111,-85
2249.553947,-81
2250.406747,-78
2251.837451,-78
2255.563886,-78
2256.709983,-84
2259.297589,-83
2260.201293,-77
2261.003519,-80
2261.302179,-86
2262.717876,-81
2264.163882,-79
2265.030148,-79
2267.318412,-80
2268.746433,-80
2271.018853,-83
2272.169021,-71
2273.033967,-79
2273.907408,-71
2274.17891,-79
2275.325208,-77
2276.475395,-66
2277.323977,-69
2278.467708,-63
