time,rssi
0.0,-76
1.165233,-86
1.72263,-75
2.577545,-71
3.491761,-73
3.732537,-76
5.451363,-84
5.735032,-80
7.159758,-78
8.356968,-74
8.601351,-80
9.190736,-78
9.455136,-77
10.606431,-77
13.190261,-74
14.062392,-79
15.496793,-77
16.084878,-82
18.361482,-80
19.217753,-78
20.385291,-80
21.232887,-78
23.237147,-79
23.899496,-77
24.079,-77
26.108861,-80
26.370232,-82
27.227775,-71
28.139257,-83
28.66667,-76
30.109195,-81
32.158209,-85
32.673062,-79
33.540302,-81
34.976782,-83
37.844167,-78
39.565377,-88
