time,rssi
1481.348407,-83
1482.48464,-86
1483.055014,-80
1485.06089,-83
1486.488511,-84
1487.384518,-80
1488.20851,-85
1489.933477,-82
1490.207213,-90
1491.627241,-81
1492.510163,-79
1493.630969,-85
1497.395063,-76
1497.62602,-83
1498.477233,-81
1499.90851,-76
1500.490313,-88
1501.342504,-80
1501.968497,-83
1502.194839,-79
1502.483511,-79
1503.331069,-83
1503.624852,-82
1504.184792,-85
1504.812309,-80
1505.043555,-80
1506.478649,-83
1506.766129,-88
1509.194753,-89
1509.919896,-89
1511.072403,-83
1513.475894,-83
1513.64736,-89
1514.214947,-89
1515.20144,-78
1515.363631,-81
1516.208602,-77
1517.705468,-76
1517.931049,-79
1518.209857,-76
1519.373902,-76
1520.51769,-84
1521.088712,-84
