time,rssi
773.71537,-75
774.294358,-82
776.58539,-82
777.451483,-81
778.586635,-87
779.439242,-84
780.616908,-81
781.157803,-74
781.73165,-90
783.161697,-83
784.016686,-86
784.871663,-80
786.243287,-77
786.297871,-79
788.299304,-75
788.87783,-77
789.154193,-78
789.792429,-80
790.002924,-81
791.145645,-88
792.085395,-81
792.293153,-88
793.151941,-75
794.033447,-81
794.879329,-79
796.144477,-75
797.410839,-78
797.448316,-79
798.304341,-82
799.161647,-81
800.326906,-79
800.585572,-85
801.208124,-78
801.441783,-85
802.323758,-82
802.883082,-85
803.174258,-80
804.323027,-79
805.478167,-74
806.476053,-79
806.694385,-86
807.203521,-82
807.478149,-83
808.909444,-81
809.485971,-80
809.768132,-82
810.380812,-79
811.485749,-77
812.401458,-78
812.625642,-79
