time,rssi
1533.360654,-78
1534.220361,-80
1535.365769,-76
1535.653511,-82
1536.517115,-80
1537.682937,-72
1539.3692,-84
1540.800582,-79
1541.376658,-76
1542.549129,-90
1542.808012,-78
1543.668334,-75
1544.520495,-79
1545.950909,-75
1547.369455,-78
1547.955573,-78
1548.39513,-86
1548.504572,-80
1551.069476,-83
1552.30179,-74
1553.358183,-85
1553.644402,-90
1554.822251,-81
1556.766683,-77
1557.906984,-73
1558.771903,-82
1559.04931,-79
1560.487044,-84
1561.062089,-83
1562.508964,-86
1563.396924,-77
1564.20952,-70
1565.379166,-80
1565.643087,-71
1567.965896,-76
1568.240641,-91
1569.372023,-80
1570.231678,-85
1571.087099,-84
1571.407692,-77
1572.241155,-87
