time,rssi
0.0,-78
0.288848,-74
1.145006,-85
2.577405,-81
3.426265,-73
4.329986,-79
5.157827,-85
6.291233,-80
7.438709,-74
8.299102,-84
9.736347,-83
11.161341,-79
11.464931,-83
12.027549,-80
13.195748,-82
13.74141,-78
15.173925,-79
17.009566,-82
19.457708,-77
21.523744,-81
21.753943,-78
22.895206,-78
24.076601,-78
24.31908,-85
26.038,-83
27.185233,-79
27.535356,-84
29.770473,-79
30.91057,-83
32.094299,-82
32.347151,-82
33.489158,-76
34.056557,-76
35.48788,-79
36.069403,-78
36.410848,-78
38.330302,-82
39.197821,-78
