time,rssi
2328.182019,-78
2329.346022,-88
2329.610768,-73
2330.178228,-84
2331.324592,-79
2332.184318,-79
2333.039983,-80
2335.024586,-77
2335.309574,-84
2336.472637,-74
2336.727017,-80
2337.628403,-73
2339.023259,-86
2339.309524,-83
2340.738366,-77
2341.625238,-78
2342.212172,-85
2342.761097,-82
2343.029481,-77
2344.748431,-77
2346.173439,-86
2346.457153,-76
2347.621248,-84
2347.885072,-70
2348.793478,-77
2349.032172,-83
2350.181145,-77
2350.868069,-85
2351.897583,-78
2354.19479,-79
2355.339791,-71
2355.627413,-72
2356.775883,-85
2358.49358,-78
2359.348575,-78
2359.92096,-80
2361.338637,-77
2362.480373,-83
2363.053554,-73
2365.614828,-85
2366.466126,-77
2367.042076,-82
