time,rssi
2976.496626,-81
2977.068648,-76
2978.220017,-79
2979.366021,-82
2979.935942,-85
2981.939839,-83
2982.223538,-84
2984.234418,-79
2987.383881,-88
2988.246177,-73
2989.398987,-83
2990.818971,-82
2992.251125,-81
2993.967483,-79
2994.826922,-76
2995.401715,-70
2996.543902,-80
2997.748319,-78
2998.55637,-71
2999.421279,-77
3000.302935,-83
3002.030725,-80
3003.442645,-78
3003.726304,-81
3007.185137,-80
3007.456362,-82
3009.74583,-77
3010.311436,-87
3011.748035,-78
3012.623062,-77
3013.162762,-75
3014.32252,-79
3014.883611,-79
