time,rssi
1596.391834,-84
1596.678523,-74
1597.811288,-83
1598.6686,-77
1600.138251,-80
1600.964841,-80
1602.388576,-77
1603.251162,-77
1604.679867,-77
1604.970452,-79
1606.396164,-79
1608.393754,-86
1609.528718,-84
1610.102397,-75
1610.999714,-88
1611.251167,-87
1612.401213,-83
1613.834882,-89
1614.432082,-82
1615.269927,-81
1615.551173,-82
1616.757629,-82
1617.289355,-86
1617.851139,-87
1618.426107,-73
1619.569981,-77
1620.418691,-86
1621.272328,-77
1623.836234,-76
1624.987172,-78
1625.305889,-82
1625.548653,-78
1626.132461,-78
1626.98125,-82
1627.841265,-77
1628.698766,-84
1629.56126,-82
1630.415406,-82
1631.273771,-86
1631.565883,-78
1631.854933,-83
1632.716294,-76
1633.902726,-75
1634.152508,-81
1634.721216,-79
1635.590116,-86
