time,rssi
817.045612,-83
817.333166,-80
817.910717,-79
818.76186,-84
819.340171,-87
820.759484,-87
821.623261,-77
822.495713,-82
823.35992,-83
823.914348,-76
824.778418,-81
825.35741,-84
826.513308,-93
828.233283,-79
829.958055,-75
830.530195,-83
831.683374,-90
832.250768,-89
832.829694,-81
833.966387,-76
835.426793,-78
835.678302,-77
836.25338,-71
837.104637,-77
837.685827,-69
837.965741,-68
838.561087,-76
838.846057,-77
839.110095,-88
840.560123,-85
841.115864,-73
841.973863,-80
842.254661,-85
842.541089,-75
842.841861,-83
843.41789,-83
843.688418,-82
845.126097,-84
845.999658,-80
846.568705,-79
846.828202,-84
847.114804,-91
847.972122,-77
849.406026,-80
851.114501,-86
851.416092,-81
852.567282,-84
852.836448,-95
853.872721,-77
854.259534,-80
854.840225,-83
855.162679,-80
855.432192,-84
856.272506,-76
