time,rssi
2872.978811,-85
2874.99472,-81
2875.261265,-88
2877.549289,-85
2878.677643,-83
2879.533842,-83
2881.253986,-80
2882.456994,-73
2882.688803,-84
2883.545181,-74
2884.39754,-75
2885.254148,-73
2886.686405,-88
2888.414974,-77
2889.567632,-79
2890.999448,-81
2891.595407,-79
2892.441418,-74
2892.718802,-69
2893.575057,-77
2894.715053,-68
2895.860253,-71
2898.436952,-78
2898.457943,-76
2898.741419,-79
2899.914743,-73
2900.177665,-75
2901.059252,-76
2901.885074,-74
2902.745201,-78
2904.183967,-79
2905.042639,-81
2905.896399,-77
2907.334037,-85
2908.196493,-79
2909.118278,-90
2909.625186,-87
2909.9065,-88
2911.050827,-77
2911.335205,-81
2912.1952,-77
