time,rssi
872.965183,-80
873.831459,-74
874.405205,-79
875.541705,-89
876.993534,-84
877.542144,-76
877.827733,-78
878.689114,-77
878.983525,-83
879.560461,-79
879.845181,-70
880.705888,-79
882.410514,-82
884.124197,-79
884.695725,-73
886.706642,-79
886.997177,-78
887.272963,-81
888.133038,-81
889.281748,-81
889.564294,-87
889.863144,-76
890.98926,-76
891.569141,-82
892.146115,-76
892.717493,-82
892.99919,-87
893.2893,-91
895.566589,-78
895.879918,-80
896.705538,-85
897.56966,-80
898.432038,-73
899.010985,-75
899.856828,-76
900.715164,-76
901.859277,-76
902.714345,-85
903.576902,-77
904.141909,-81
905.003154,-78
905.579323,-84
906.728044,-73
907.304395,-80
908.170748,-80
908.735817,-75
909.019493,-75
909.596756,-79
910.470613,-81
910.752192,-74
911.314381,-79
912.171006,-89
