time,rssi
2442.445056,-84
2443.834648,-89
2444.972109,-83
2445.834752,-84
2446.763884,-82
2446.988394,-89
2447.847141,-82
2450.132453,-75
2451.276006,-77
2452.13336,-80
2453.673879,-73
2455.007214,-78
2455.275905,-77
2455.587447,-84
2456.134548,-80
2457.123005,-79
2458.302881,-78
2458.430832,-87
2459.030714,-84
2459.862966,-82
2460.895773,-78
2461.002098,-82
2461.865945,-85
2463.601331,-82
2463.953284,-81
2469.318482,-82
2469.900571,-77
2471.038382,-81
2472.488074,-82
2473.029692,-78
2474.402026,-80
2475.325277,-81
2476.6111,-76
2476.748478,-81
2477.608598,-77
2478.463477,-79
2479.31851,-77
2480.742466,-88
2481.312197,-76
