time,rssi
740.222216,-80
740.50471,-81
741.372214,-76
742.557423,-76
743.934779,-81
744.791102,-76
746.023145,-78
746.222267,-81
747.368579,-83
748.802378,-84
749.943757,-81
751.373688,-79
751.65593,-88
753.444592,-79
753.674422,-75
754.23596,-75
755.383579,-82
755.962839,-77
757.671131,-83
758.818632,-82
760.68646,-75
761.104842,-83
762.242355,-86
763.120626,-79
763.393574,-79
763.971054,-87
764.816093,-74
765.122312,-83
766.287227,-74
766.547395,-79
767.12372,-71
767.406126,-76
768.339842,-83
769.127349,-82
770.291282,-79
770.54872,-73
771.403781,-84
772.258986,-82
772.548721,-82
774.555009,-84
776.290379,-78
776.849963,-93
778.575041,-81
779.766432,-75
780.001258,-86
