time,rssi
0.0,-78
0.289959,-86
0.612568,-72
1.41619,-74
2.562556,-68
3.409865,-62
4.843809,-70
5.41632,-77
6.840082,-75
7.992617,-76
8.556503,-78
10.298312,-82
10.586747,-76
11.146523,-80
12.013893,-82
12.595476,-78
13.731437,-79
14.872667,-83
16.024557,-82
16.876283,-78
17.732693,-73
19.741522,-76
20.881306,-76
22.304012,-83
22.878904,-81
25.464271,-78
26.032279,-77
26.399695,-72
27.789187,-69
28.333906,-68
29.187221,-66
29.510179,-65
30.618992,-65
31.465206,-82
32.339824,-84
32.622641,-80
34.051538,-79
34.336318,-84
35.199036,-83
36.923037,-83
37.191503,-77
37.480501,-79
38.620314,-83
