time,rssi
738.417993,-81
739.275469,-81
741.280794,-75
743.279465,-85
745.012809,-81
745.560629,-87
746.416787,-80
747.82809,-84
749.259277,-90
749.544384,-84
750.690379,-81
751.835537,-85
753.325164,-80
753.872755,-87
754.123086,-83
754.980691,-83
755.839348,-85
756.716008,-84
756.990611,-82
758.130738,-86
759.572188,-74
759.836736,-84
760.124354,-91
761.005394,-77
762.419472,-86
762.988128,-79
764.172269,-81
765.31741,-77
765.565665,-81
766.181534,-74
767.003446,-86
767.279406,-82
768.446113,-80
768.713212,-82
769.844549,-86
770.135407,-82
772.418229,-87
773.266802,-77
774.413183,-80
775.557009,-81
777.274806,-78
777.560725,-87
