time,rssi
616.460556,-78
617.318006,-88
619.328107,-77
619.607948,-79
621.60293,-79
622.175549,-81
623.0381,-82
623.904666,-80
624.475377,-71
624.755428,-72
625.323126,-71
626.181826,-80
626.755055,-77
627.61695,-86
628.479235,-76
630.500664,-75
631.359447,-81
632.507367,-82
633.065688,-80
633.925426,-78
635.091907,-84
636.531545,-80
636.80543,-86
638.51189,-88
639.698239,-84
640.534791,-91
641.10109,-83
641.387489,-86
641.963178,-84
643.671962,-84
644.616021,-82
647.119407,-84
647.680746,-79
648.814481,-87
649.667108,-83
651.381912,-82
651.954993,-82
653.403245,-77
654.284988,-74
654.606368,-67
655.998247,-76
