time,rssi
747.000345,-83
747.859113,-84
749.001623,-80
750.219998,-80
750.714092,-82
750.995251,-77
752.420428,-78
753.300173,-79
753.629647,-83
754.155781,-81
754.716809,-72
755.849143,-75
756.135375,-75
757.271771,-72
758.442857,-72
758.74187,-75
759.277383,-77
760.131175,-86
761.281652,-76
762.419204,-92
763.272857,-83
766.451248,-80
766.991796,-79
767.624542,-81
767.841894,-78
768.712893,-78
770.690633,-85
771.835545,-87
772.696317,-82
773.831985,-77
775.826919,-81
777.301866,-77
778.123366,-71
778.683075,-81
779.846954,-69
780.675764,-87
782.396976,-86
783.346189,-75
784.15727,-75
784.397032,-80
785.834576,-79
