time,rssi
1543.874948,-80
1545.032581,-80
1545.89014,-82
1547.044137,-76
1547.923926,-92
1549.041336,-82
1549.908861,-86
1551.451367,-83
1551.740864,-83
1552.810257,-77
1553.34896,-78
1555.630253,-81
1556.608584,-82
1556.781372,-86
1557.352686,-87
1558.242849,-77
1558.78012,-85
1559.645207,-70
1560.506443,-80
1561.36165,-79
1563.35889,-78
1564.509326,-76
1565.357701,-89
1566.537545,-82
1566.78029,-83
1567.357949,-86
1568.507612,-85
1571.109365,-83
1571.360463,-83
1571.644142,-82
1572.505921,-90
1574.236692,-89
1574.806613,-83
1575.660274,-82
1577.085397,-84
1577.673473,-81
1578.514185,-81
1578.801423,-80
1579.99697,-86
1580.237936,-86
1581.387999,-76
1582.251703,-81
1583.110432,-86
