time,rssi
3131.439671,-82
3132.016882,-80
3132.294522,-78
3133.440904,-82
3134.588444,-81
3135.16319,-87
3136.88331,-83
3139.460928,-83
3140.323339,-86
3141.481979,-80
3142.333306,-74
3143.487669,-81
3144.065924,-74
3144.927231,-77
3145.808245,-81
3146.346242,-82
3147.249667,-86
3147.507943,-78
3147.783369,-80
3148.930608,-87
3149.518313,-81
3149.792112,-77
3150.654711,-85
3151.518358,-72
3153.533765,-80
3155.257234,-76
3155.824735,-84
3156.682244,-75
3157.824631,-85
3158.686007,-83
3159.842328,-71
3160.402215,-80
3160.994938,-84
3161.271076,-78
3161.838516,-78
3163.551243,-82
3163.84661,-77
3164.121086,-89
3164.977334,-81
3166.409811,-89
3166.98472,-77
3168.721946,-81
3169.281081,-71
3170.137381,-79
3171.298249,-79
