time,rssi
1565.187334,-76
1565.770969,-80
1566.052749,-83
1566.337537,-78
1567.489963,-81
1568.346231,-88
1569.785133,-85
1573.222631,-82
1573.527541,-98
1573.791656,-79
1574.363811,-83
1574.972203,-87
1575.534245,-86
1575.799044,-88
1576.088051,-83
1576.368574,-85
1577.229023,-86
1577.805192,-84
1579.236465,-83
1579.527623,-82
1580.960099,-84
1582.101422,-78
1582.962681,-81
1583.541665,-74
1584.992408,-81
1585.835263,-78
1586.703071,-79
1587.266525,-84
1588.162267,-81
1588.991453,-83
1589.84393,-78
1590.998811,-77
1591.280126,-77
1592.986081,-90
1593.86435,-81
1594.147983,-83
1594.690214,-83
1595.550404,-80
1596.123935,-92
1596.976961,-76
1599.86003,-81
1600.440458,-88
1601.018135,-83
1602.47614,-79
1603.588118,-86
