time,rssi
2090.783698,-76
2092.224599,-80
2092.784904,-80
2093.069774,-75
2093.649914,-87
2094.499814,-85
2095.678876,-83
2096.266867,-83
2096.796212,-77
2098.508703,-88
2101.076224,-87
2102.509412,-74
2103.080763,-79
2104.20999,-78
2104.496253,-85
2105.922325,-89
2106.790012,-87
2107.949004,-77
2109.075593,-82
2109.926586,-69
2110.206235,-69
2111.351196,-72
2111.633244,-76
2112.767449,-72
2113.347578,-76
2113.629767,-73
2114.795933,-72
2115.059847,-78
2116.19864,-88
2117.358344,-83
2117.914943,-84
2118.771051,-81
2121.06032,-83
2121.339922,-85
2121.917587,-79
2122.765465,-78
2123.921923,-82
2124.211076,-89
2125.076285,-79
2126.502377,-89
2129.351206,-82
