time,rssi
2265.766666,-76
2267.213857,-83
2268.059861,-85
2269.775534,-75
2270.351852,-77
2270.628056,-81
2270.91171,-86
2271.486843,-89
2272.37771,-77
2273.193628,-75
2274.339297,-79
2275.218656,-80
2276.36284,-84
2277.215619,-82
2279.217209,-75
2279.49182,-78
2279.782212,-83
2280.061821,-86
2280.634413,-86
2281.495642,-94
2282.060897,-83
2283.208071,-81
2284.055745,-76
2284.627681,-81
2284.91565,-79
2286.065815,-89
2286.635795,-83
2287.207465,-82
2287.775835,-80
2289.208828,-91
2290.346903,-81
2290.629521,-80
2291.197916,-76
2291.763333,-80
2293.491939,-75
2294.059859,-71
2294.340851,-72
2294.630884,-74
2295.483445,-86
2296.064244,-77
2296.34335,-89
2296.663089,-73
2296.918452,-75
2297.768467,-79
2298.626308,-79
2298.905898,-80
2299.763807,-80
2301.189662,-77
2301.773634,-80
2302.328361,-89
2303.468381,-79
2304.042104,-81
2304.613436,-87
2305.204217,-82
