time,rssi
2297.815978,-90
2298.959761,-79
2299.810336,-82
2300.102206,-85
2300.959678,-89
2302.386212,-80
2302.966709,-86
2303.542311,-78
2304.410317,-79
2304.683631,-78
2304.974648,-75
2306.126405,-79
2306.404846,-82
2307.007979,-85
2308.698702,-87
2309.571972,-79
2310.132231,-80
2311.630366,-78
2312.458333,-80
2313.556167,-82
2314.442967,-77
2314.984866,-83
2315.271105,-76
2316.702015,-88
2317.549957,-73
2318.689959,-71
2319.887305,-77
2320.987409,-82
2321.582663,-83
2321.839929,-77
2322.697448,-80
2324.700015,-85
2325.604833,-83
2326.416262,-81
2326.708804,-83
2328.145976,-81
2329.361919,-82
2330.423824,-74
2330.718983,-74
2331.84371,-80
2332.702473,-84
2334.475652,-79
2334.733628,-83
2335.575507,-78
2336.145094,-78
2336.4326,-83
2337.024006,-83
2337.295121,-80
