time,rssi
684.005189,-83
686.016462,-80
686.59268,-80
687.161477,-81
688.317731,-82
690.591555,-81
691.452752,-77
692.026801,-82
693.164828,-82
693.460509,-91
694.602741,-75
697.180126,-79
698.618984,-78
701.183827,-78
702.659913,-89
703.194087,-85
705.48451,-79
705.769124,-77
706.061422,-76
706.352433,-76
708.05164,-87
709.215559,-80
710.065419,-72
710.350901,-70
711.205317,-81
711.488936,-78
712.06792,-85
712.640054,-82
713.242835,-76
713.496562,-76
716.35414,-77
716.635332,-82
717.21408,-76
718.349448,-78
719.204228,-72
720.633273,-73
720.914119,-74
721.199058,-82
721.794671,-78
