time,rssi
1541.190112,-74
1541.762543,-81
1542.054414,-87
1542.33295,-72
1542.907586,-75
1543.792367,-68
1544.340022,-95
1544.907471,-73
1545.491255,-85
1546.624349,-76
1547.47661,-82
1548.3639,-82
1548.616288,-94
1549.471347,-87
1551.466222,-77
1552.317422,-89
1553.462635,-77
1555.459778,-83
1556.321939,-80
1557.739994,-78
1558.892,-79
1559.174376,-80
1559.769689,-84
1560.039997,-80
1560.92234,-88
1563.487568,-79
1564.061407,-79
1566.35629,-83
1566.910042,-78
1568.920377,-80
1569.781704,-76
1570.65059,-72
1570.930099,-80
1571.216314,-74
1572.075311,-69
1572.925121,-75
1574.06755,-68
1574.636301,-66
1575.226225,-64
1575.496288,-62
1576.081141,-65
1576.363896,-67
1576.652554,-71
1576.933855,-71
1577.502536,-69
1579.22766,-73
1580.386146,-77
